# --------------------------- WARNING ------------------------------
# The data you have obtained are provisional and subject to revision.
#
# Contact your state water supply staff for assistance
# http://www.wcc.nrcs.usda.gov/partnerships/links_wsfs.html
#
# United States Department of Agriculture
# Natural Resources Conservation Service
# National Water and Climate Center
# Portland Oregon
#
# S N O W  P R E C I P I T A T I O N   U P D A T E
#
# This report is based on mountain data from USDA-NRCS SNOTEL Sites
# Data are based on the first reading of the day (typically 00:00)
# Sunday: February 10 2008
# 
# Medians and averages are calculated for the period 1981-2010.
#
# retrieved: Thursday: February 11 2021 PDT
#
# This file contains the Columbia River Basin SNOTEL Snow and Precipitation Update Report
#
# This file contains a list of stations and basin summaries of hydrologic conditions.
# The fields are comma delimited and the first line after this header describes the contents of each column:
#
#    column                             column definition
#    -------------------------          -------------------------------------
#  1 Lat                                decimal latitude
#  2 Long                               decimal longitude w/negative sign
#  3 YYYYMMDD                           date of observation
#  4 Basin_name                         state sub-basin name
#  5 Station_id                         Snotel system identification code
#  6 Acton_id                           Snow Survey Program ACTON code
#  7 Station_name                       station name
#  8 Elevation                          elevation (feet)
#  9 Wteq_amt                           current snow water equivalent (inches)
# 10 Wteq_med                           snow water equivalent Median (inches)
# 11 Wteq_amt_pct_med                   current snow water equivalent as percent of Median
# 12 Wteq_amt_pct_med_flag              snow water equivalent validity code
# 13 Prec_wytd_amt                      water year to date precipitation (inches)
# 14 Prec_wytd_avg                      water year to date precipitation Average (inches)
# 15 Prec_wytd_pctavg                   water year to date precipitation as percent of Average
# 16 Prec_wytd_pct_avg_flag             water year to date precipitation validty code
#
# Data-value qualification codes included in this output:
#  -997 Data may not provide a valid measure of conditions
#         If the current swe data value is > 0 and the Median is 0 then the percent of Median flag = -997
#         If either the current data value or the Median is missing then the percent of Median cell will be blank and the percent of Median flag will be -997
#         If the current swe value is < 10% of the Median peak swe then the percent of Median flag = -997
#         If over 1/2 of the stations for a basin report missing or invalid data then the percent of Median flag = -997
#  -998 No Normal available
#  -999 Missing data
#         If the current data value is missing then the current data value = -999
#         If the current precipitation is negative then the current precipitation value = -999
#         If the current swe is < -1 then the current swe value = -999
#         If over 1/2 of the stations for a basin are missing then the percent of Average cell is blank
#
# If the Basin Index (%) for comparison value is flagged as potentially invalid
# care should be taken to evaluate if the value is representative of conditions in the basin.
#
# The SNOW WATER EQUIVALENT percent of Median represents the snow water
# equivalent found at selected SNOTEL sites in or near the basin compared
# to the Median value for those sites on this day.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
# The TOTAL PRECIPITATION percent of Average represents the total,,,,,,,,,,,,,,,,
# precipitation (beginning October 1st) found at selected SNOTEL sites in,,,,,,,,,,,,,,,,
# or near the basin compared to the Average value for those sites on this day.,,,,,,,,,,,,,,,,
# Site -- Either: (a) the current value is missing; 
#(b) the median or average for the day is not available or is zero; or 
#(c) for snow water equivalent the median for the day is less than 10% of the maximum median value for  the year.
# Basin - More than half of the sites within the basin are flagged with * preventing the 
#calculation of a meaningful basin index.
The basin index is calculated as the sum of the valid current values 
divided by the sum of the corresponding medians (for snow water equivalent)
or averages (for precipitation) and the resulting fraction multiplied by 100.
##########################################################################,,,,,,,,,,,,,
Lat,Long,YYYYMMDD,Basin_name,Station_id,Acton_id,Station_name,Elevation,Wteq_amt,Wteq_med,Wteq_amt_pct_med,Wteq_amt_pct_med_flag,Prec_wytd_amt,Prec_wytd_avg,Prec_wytd_pctavg,Prec_wytd_pct_avg_flag, 
48.5666667,-115.4500000,20080210,"KOOTENAI RIVER IN MONTANA",311,"15A08S","Banfield Mountain","5600",17.0,12.2,139,,22.8,17.8,128,,
48.3000000,-116.0666667,20080210,"KOOTENAI RIVER IN MONTANA",323,"16A08S","Bear Mountain","5400",47.1,38.6,122,,59.1,49.5,119,,
48.9833333,-115.8166667,20080210,"KOOTENAI RIVER IN MONTANA",918,"15A05S","Garver Creek","4250",10.4,6.9,151,,14.2,12.9,110,,
48.9166667,-114.7666667,20080210,"KOOTENAI RIVER IN MONTANA",500,"14A11S","Grave Creek","4300",13.8,11.4,121,,22.8,22.8,100,,
48.3000000,-114.8333333,20080210,"KOOTENAI RIVER IN MONTANA",510,"14A14S","Hand Creek","5035",10.0,7.8,128,,13.3,11.7,114,,
48.9666667,-115.9500000,20080210,"KOOTENAI RIVER IN MONTANA",516,"15A03S","Hawkins Lake","6450",21.9,16.8,130,,25.1,20.9,120,,
48.1333333,-115.6166667,20080210,"KOOTENAI RIVER IN MONTANA",932,"15A12S","Poorman Creek","5100",34.0,23.7,143,,51.5,39.8,129,,
48.9166667,-114.8666667,20080210,"KOOTENAI RIVER IN MONTANA",787,"14A12S","Stahl Peak","6030",29.6,23.2,128,,30.5,26.6,115,,
,,,,"KOOTENAI RIVER IN MONTANA",,,Basin Index (%),"","",131,,"","",118,, 
48.2000000,-114.5166667,20080210,"FLATHEAD RIVER BASIN",1165,"14A19S","Ashley Divide","4820",-999,-998,,-997,-999,-998,,-997,
48.1333333,-113.0166667,20080210,"FLATHEAD RIVER BASIN",307,"13A15S","Badger Pass","6900",27.8,20.3,137,,29.9,23.2,129,,
47.6833333,-114.0000000,20080210,"FLATHEAD RIVER BASIN",346,"13B25S","Bisson Creek","4920",6.4,6.8,94,,9.4,11.5,82,,
47.9833333,-114.3500000,20080210,"FLATHEAD RIVER BASIN",1144,"14B04S","Blacktail Mtn","5650",-999,-998,,-997,-999,-998,,-997,
48.4333333,-113.9333333,20080210,"FLATHEAD RIVER BASIN",469,"13A24S","Emery Creek","4350",13.2,10.4,127,,20.5,17.1,120,,
48.8000000,-113.8500000,20080210,"FLATHEAD RIVER BASIN",482,"13A19S","Flattop Mtn.","6300",37.8,29.7,127,,43.4,33.8,128,,
48.9166667,-114.7666667,20080210,"FLATHEAD RIVER BASIN",500,"14A11S","Grave Creek","4300",13.8,11.4,121,,22.8,22.8,100,,
48.3000000,-114.8333333,20080210,"FLATHEAD RIVER BASIN",510,"14A14S","Hand Creek","5035",10.0,7.8,128,,13.3,11.7,114,,
47.4333333,-113.7833333,20080210,"FLATHEAD RIVER BASIN",562,"13B22S","Kraft Creek","4750",10.1,-998,,-997,17.1,18.7,91,,
48.8000000,-113.6666667,20080210,"FLATHEAD RIVER BASIN",613,"13A27S","Many Glacier","4900",12.4,10.1,123,,23.8,22.3,107,,
47.6833333,-113.9666667,20080210,"FLATHEAD RIVER BASIN",646,"13B24S","Moss Peak","6780",23.4,23.6,99,,23.3,25.4,92,,
48.1500000,-113.9500000,20080210,"FLATHEAD RIVER BASIN",664,"13A25S","Noisy Basin","6040",26.4,26.8,99,,30.6,30.3,101,,
47.2666667,-113.7500000,20080210,"FLATHEAD RIVER BASIN",667,"13B07S","North Fork Jocko","6330",27.0,28.8,94,,33.3,35.5,94,,
48.3000000,-113.3333333,20080210,"FLATHEAD RIVER BASIN",693,"13A26S","Pike Creek","5930",21.2,-998,,-997,25.3,21.2,119,,
47.1833333,-114.3333333,20080210,"FLATHEAD RIVER BASIN",783,"14B05S","Sleeping Woman","6150",15.1,10.1,150,,18.0,14.7,122,,
48.9166667,-114.8666667,20080210,"FLATHEAD RIVER BASIN",787,"14A12S","Stahl Peak","6030",29.6,23.2,128,,30.5,26.6,115,,
47.0000000,-113.9333333,20080210,"FLATHEAD RIVER BASIN",901,"13C01S","Stuart Mountain","7400",24.3,21.9,111,,23.7,22.8,104,,
,,,,"FLATHEAD RIVER BASIN",,,Basin Index (%),"","",116,,"","",108,, 
46.1000000,-113.1333333,20080210,"UPPER CLARK FORK RIVER BASIN",313,"13C44S","Barker Lakes","8250",8.9,8.6,103,,11.2,10.5,107,,
45.8000000,-112.5166667,20080210,"UPPER CLARK FORK RIVER BASIN",315,"12D09S","Basin Creek","7180",4.2,4.8,88,,7.0,6.0,117,,
46.4166667,-113.4333333,20080210,"UPPER CLARK FORK RIVER BASIN",349,"13C13S","Black Pine","7210",9.1,6.7,136,,10.3,9.1,113,,
46.4666667,-113.4000000,20080210,"UPPER CLARK FORK RIVER BASIN",410,"13C33S","Combination","5600",4.5,3.4,132,,7.6,6.5,117,,
47.0500000,-112.6000000,20080210,"UPPER CLARK FORK RIVER BASIN",413,"12B16S","Copper Bottom","5200",8.0,-998,,-997,14.4,11.7,123,,
47.0833333,-112.7333333,20080210,"UPPER CLARK FORK RIVER BASIN",414,"12B14S","Copper Camp","6950",43.0,-998,,-997,23.9,23.0,104,,
46.8833333,-113.3166667,20080210,"UPPER CLARK FORK RIVER BASIN",604,"13C38S","Lubrecht Flume","4680",4.5,4.1,110,,6.8,7.4,92,,
46.8500000,-112.5000000,20080210,"UPPER CLARK FORK RIVER BASIN",903,"12C22S","Nevada Ridge","7020",11.8,9.4,126,,12.3,11.5,107,,
46.8666667,-113.2833333,20080210,"UPPER CLARK FORK RIVER BASIN",657,"13C31S","N Fk Elk Creek","6250",7.2,7.3,99,,9.2,9.6,96,,
47.2666667,-113.7500000,20080210,"UPPER CLARK FORK RIVER BASIN",667,"13B07S","North Fork Jocko","6330",27.0,28.8,94,,33.3,35.5,94,,
46.1333333,-113.3000000,20080210,"UPPER CLARK FORK RIVER BASIN",930,"13C36S","Peterson Meadows","7200",5.6,5.8,97,,8.7,7.5,116,,
