# --------------------------- WARNING ------------------------------
# The data you have obtained are provisional and subject to revision.
#
# Contact your state water supply staff for assistance
# http://www.wcc.nrcs.usda.gov/partnerships/links_wsfs.html
#
# United States Department of Agriculture
# Natural Resources Conservation Service
# National Water and Climate Center
# Portland Oregon
#
# S N O W  P R E C I P I T A T I O N   U P D A T E
#
# This report is based on mountain data from USDA-NRCS SNOTEL Sites
# Data are based on the first reading of the day (typically 00:00)
# Thursday: February 10 2005
# 
# Medians and averages are calculated for the period 1981-2010.
#
# retrieved: Thursday: February 11 2021 PDT
#
# This file contains the Columbia River Basin SNOTEL Snow and Precipitation Update Report
#
# This file contains a list of stations and basin summaries of hydrologic conditions.
# The fields are comma delimited and the first line after this header describes the contents of each column:
#
#    column                             column definition
#    -------------------------          -------------------------------------
#  1 Lat                                decimal latitude
#  2 Long                               decimal longitude w/negative sign
#  3 YYYYMMDD                           date of observation
#  4 Basin_name                         state sub-basin name
#  5 Station_id                         Snotel system identification code
#  6 Acton_id                           Snow Survey Program ACTON code
#  7 Station_name                       station name
#  8 Elevation                          elevation (feet)
#  9 Wteq_amt                           current snow water equivalent (inches)
# 10 Wteq_med                           snow water equivalent Median (inches)
# 11 Wteq_amt_pct_med                   current snow water equivalent as percent of Median
# 12 Wteq_amt_pct_med_flag              snow water equivalent validity code
# 13 Prec_wytd_amt                      water year to date precipitation (inches)
# 14 Prec_wytd_avg                      water year to date precipitation Average (inches)
# 15 Prec_wytd_pctavg                   water year to date precipitation as percent of Average
# 16 Prec_wytd_pct_avg_flag             water year to date precipitation validty code
#
# Data-value qualification codes included in this output:
#  -997 Data may not provide a valid measure of conditions
#         If the current swe data value is > 0 and the Median is 0 then the percent of Median flag = -997
#         If either the current data value or the Median is missing then the percent of Median cell will be blank and the percent of Median flag will be -997
#         If the current swe value is < 10% of the Median peak swe then the percent of Median flag = -997
#         If over 1/2 of the stations for a basin report missing or invalid data then the percent of Median flag = -997
#  -998 No Normal available
#  -999 Missing data
#         If the current data value is missing then the current data value = -999
#         If the current precipitation is negative then the current precipitation value = -999
#         If the current swe is < -1 then the current swe value = -999
#         If over 1/2 of the stations for a basin are missing then the percent of Average cell is blank
#
# If the Basin Index (%) for comparison value is flagged as potentially invalid
# care should be taken to evaluate if the value is representative of conditions in the basin.
#
# The SNOW WATER EQUIVALENT percent of Median represents the snow water
# equivalent found at selected SNOTEL sites in or near the basin compared
# to the Median value for those sites on this day.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
# The TOTAL PRECIPITATION percent of Average represents the total,,,,,,,,,,,,,,,,
# precipitation (beginning October 1st) found at selected SNOTEL sites in,,,,,,,,,,,,,,,,
# or near the basin compared to the Average value for those sites on this day.,,,,,,,,,,,,,,,,
# Site -- Either: (a) the current value is missing; 
#(b) the median or average for the day is not available or is zero; or 
#(c) for snow water equivalent the median for the day is less than 10% of the maximum median value for  the year.
# Basin - More than half of the sites within the basin are flagged with * preventing the 
#calculation of a meaningful basin index.
The basin index is calculated as the sum of the valid current values 
divided by the sum of the corresponding medians (for snow water equivalent)
or averages (for precipitation) and the resulting fraction multiplied by 100.
##########################################################################,,,,,,,,,,,,,
Lat,Long,YYYYMMDD,Basin_name,Station_id,Acton_id,Station_name,Elevation,Wteq_amt,Wteq_med,Wteq_amt_pct_med,Wteq_amt_pct_med_flag,Prec_wytd_amt,Prec_wytd_avg,Prec_wytd_pctavg,Prec_wytd_pct_avg_flag, 
48.5666667,-115.4500000,20050210,"KOOTENAI RIVER IN MONTANA",311,"15A08S","Banfield Mountain","5600",6.9,12.2,57,,13.8,17.8,78,,
48.3000000,-116.0666667,20050210,"KOOTENAI RIVER IN MONTANA",323,"16A08S","Bear Mountain","5400",27.0,38.6,70,,42.0,49.5,85,,
48.9833333,-115.8166667,20050210,"KOOTENAI RIVER IN MONTANA",918,"15A05S","Garver Creek","4250",5.6,6.9,81,,9.6,12.9,74,,
48.9166667,-114.7666667,20050210,"KOOTENAI RIVER IN MONTANA",500,"14A11S","Grave Creek","4300",7.2,11.4,63,,26.3,22.8,115,,
48.3000000,-114.8333333,20050210,"KOOTENAI RIVER IN MONTANA",510,"14A14S","Hand Creek","5035",3.4,7.8,44,,8.5,11.7,73,,
48.9666667,-115.9500000,20050210,"KOOTENAI RIVER IN MONTANA",516,"15A03S","Hawkins Lake","6450",11.0,16.8,65,,16.5,20.9,79,,
48.1333333,-115.6166667,20050210,"KOOTENAI RIVER IN MONTANA",932,"15A12S","Poorman Creek","5100",12.8,23.7,54,,34.4,39.8,86,,
48.9166667,-114.8666667,20050210,"KOOTENAI RIVER IN MONTANA",787,"14A12S","Stahl Peak","6030",21.9,23.2,94,,27.7,26.6,104,,
,,,,"KOOTENAI RIVER IN MONTANA",,,Basin Index (%),"","",68,,"","",89,, 
48.2000000,-114.5166667,20050210,"FLATHEAD RIVER BASIN",1165,"14A19S","Ashley Divide","4820",-999,-998,,-997,-999,-998,,-997,
48.1333333,-113.0166667,20050210,"FLATHEAD RIVER BASIN",307,"13A15S","Badger Pass","6900",12.6,20.3,62,,16.0,23.2,69,,
47.6833333,-114.0000000,20050210,"FLATHEAD RIVER BASIN",346,"13B25S","Bisson Creek","4920",3.4,6.8,50,,10.4,11.5,90,,
47.9833333,-114.3500000,20050210,"FLATHEAD RIVER BASIN",1144,"14B04S","Blacktail Mtn","5650",-999,-998,,-997,-999,-998,,-997,
48.4333333,-113.9333333,20050210,"FLATHEAD RIVER BASIN",469,"13A24S","Emery Creek","4350",5.6,10.4,54,,17.0,17.1,99,,
48.8000000,-113.8500000,20050210,"FLATHEAD RIVER BASIN",482,"13A19S","Flattop Mtn.","6300",23.2,29.7,78,,30.4,33.8,90,,
48.9166667,-114.7666667,20050210,"FLATHEAD RIVER BASIN",500,"14A11S","Grave Creek","4300",7.2,11.4,63,,26.3,22.8,115,,
48.3000000,-114.8333333,20050210,"FLATHEAD RIVER BASIN",510,"14A14S","Hand Creek","5035",3.4,7.8,44,,8.5,11.7,73,,
47.4333333,-113.7833333,20050210,"FLATHEAD RIVER BASIN",562,"13B22S","Kraft Creek","4750",3.8,-998,,-997,16.3,18.7,87,,
48.8000000,-113.6666667,20050210,"FLATHEAD RIVER BASIN",613,"13A27S","Many Glacier","4900",2.6,10.1,26,,19.0,22.3,85,,
47.6833333,-113.9666667,20050210,"FLATHEAD RIVER BASIN",646,"13B24S","Moss Peak","6780",17.5,23.6,74,,20.6,25.4,81,,
48.1500000,-113.9500000,20050210,"FLATHEAD RIVER BASIN",664,"13A25S","Noisy Basin","6040",20.1,26.8,75,,25.3,30.3,83,,
47.2666667,-113.7500000,20050210,"FLATHEAD RIVER BASIN",667,"13B07S","North Fork Jocko","6330",22.8,28.8,79,,32.8,35.5,92,,
48.3000000,-113.3333333,20050210,"FLATHEAD RIVER BASIN",693,"13A26S","Pike Creek","5930",8.4,-998,,-997,16.3,21.2,77,,
