# --------------------------- WARNING ------------------------------
# The data you have obtained are provisional and subject to revision.
#
# Contact your state water supply staff for assistance
# http://www.wcc.nrcs.usda.gov/partnerships/links_wsfs.html
#
# United States Department of Agriculture
# Natural Resources Conservation Service
# National Water and Climate Center
# Portland Oregon
#
# S N O W  P R E C I P I T A T I O N   U P D A T E
#
# This report is based on mountain data from USDA-NRCS SNOTEL Sites
# Data are based on the first reading of the day (typically 00:00)
# Saturday: February 10 2001
# 
# Medians and averages are calculated for the period 1981-2010.
#
# retrieved: Thursday: February 11 2021 PDT
#
# This file contains the Columbia River Basin SNOTEL Snow and Precipitation Update Report
#
# This file contains a list of stations and basin summaries of hydrologic conditions.
# The fields are comma delimited and the first line after this header describes the contents of each column:
#
#    column                             column definition
#    -------------------------          -------------------------------------
#  1 Lat                                decimal latitude
#  2 Long                               decimal longitude w/negative sign
#  3 YYYYMMDD                           date of observation
#  4 Basin_name                         state sub-basin name
#  5 Station_id                         Snotel system identification code
#  6 Acton_id                           Snow Survey Program ACTON code
#  7 Station_name                       station name
#  8 Elevation                          elevation (feet)
#  9 Wteq_amt                           current snow water equivalent (inches)
# 10 Wteq_med                           snow water equivalent Median (inches)
# 11 Wteq_amt_pct_med                   current snow water equivalent as percent of Median
# 12 Wteq_amt_pct_med_flag              snow water equivalent validity code
# 13 Prec_wytd_amt                      water year to date precipitation (inches)
# 14 Prec_wytd_avg                      water year to date precipitation Average (inches)
# 15 Prec_wytd_pctavg                   water year to date precipitation as percent of Average
# 16 Prec_wytd_pct_avg_flag             water year to date precipitation validty code
#
# Data-value qualification codes included in this output:
#  -997 Data may not provide a valid measure of conditions
#         If the current swe data value is > 0 and the Median is 0 then the percent of Median flag = -997
#         If either the current data value or the Median is missing then the percent of Median cell will be blank and the percent of Median flag will be -997
#         If the current swe value is < 10% of the Median peak swe then the percent of Median flag = -997
#         If over 1/2 of the stations for a basin report missing or invalid data then the percent of Median flag = -997
#  -998 No Normal available
#  -999 Missing data
#         If the current data value is missing then the current data value = -999
#         If the current precipitation is negative then the current precipitation value = -999
#         If the current swe is < -1 then the current swe value = -999
#         If over 1/2 of the stations for a basin are missing then the percent of Average cell is blank
#
# If the Basin Index (%) for comparison value is flagged as potentially invalid
# care should be taken to evaluate if the value is representative of conditions in the basin.
#
# The SNOW WATER EQUIVALENT percent of Median represents the snow water
# equivalent found at selected SNOTEL sites in or near the basin compared
# to the Median value for those sites on this day.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
# The TOTAL PRECIPITATION percent of Average represents the total,,,,,,,,,,,,,,,,
# precipitation (beginning October 1st) found at selected SNOTEL sites in,,,,,,,,,,,,,,,,
# or near the basin compared to the Average value for those sites on this day.,,,,,,,,,,,,,,,,
# Site -- Either: (a) the current value is missing; 
#(b) the median or average for the day is not available or is zero; or 
#(c) for snow water equivalent the median for the day is less than 10% of the maximum median value for  the year.
# Basin - More than half of the sites within the basin are flagged with * preventing the 
#calculation of a meaningful basin index.
The basin index is calculated as the sum of the valid current values 
divided by the sum of the corresponding medians (for snow water equivalent)
or averages (for precipitation) and the resulting fraction multiplied by 100.
##########################################################################,,,,,,,,,,,,,
Lat,Long,YYYYMMDD,Basin_name,Station_id,Acton_id,Station_name,Elevation,Wteq_amt,Wteq_med,Wteq_amt_pct_med,Wteq_amt_pct_med_flag,Prec_wytd_amt,Prec_wytd_avg,Prec_wytd_pctavg,Prec_wytd_pct_avg_flag, 
48.5666667,-115.4500000,20010210,"KOOTENAI RIVER IN MONTANA",311,"15A08S","Banfield Mountain","5600",7.9,12.2,65,,8.0,17.8,45,,
48.3000000,-116.0666667,20010210,"KOOTENAI RIVER IN MONTANA",323,"16A08S","Bear Mountain","5400",17.8,38.6,46,,19.2,49.5,39,,
48.9833333,-115.8166667,20010210,"KOOTENAI RIVER IN MONTANA",918,"15A05S","Garver Creek","4250",4.4,6.9,64,,6.0,12.9,47,,
48.9166667,-114.7666667,20010210,"KOOTENAI RIVER IN MONTANA",500,"14A11S","Grave Creek","4300",7.1,11.4,62,,9.1,22.8,40,,
48.3000000,-114.8333333,20010210,"KOOTENAI RIVER IN MONTANA",510,"14A14S","Hand Creek","5035",5.5,7.8,71,,5.8,11.7,50,,
48.9666667,-115.9500000,20010210,"KOOTENAI RIVER IN MONTANA",516,"15A03S","Hawkins Lake","6450",8.8,16.8,52,,10.0,20.9,48,,
48.1333333,-115.6166667,20010210,"KOOTENAI RIVER IN MONTANA",932,"15A12S","Poorman Creek","5100",14.0,23.7,59,,16.7,39.8,42,,
48.9166667,-114.8666667,20010210,"KOOTENAI RIVER IN MONTANA",787,"14A12S","Stahl Peak","6030",13.1,23.2,56,,11.2,26.6,42,,
,,,,"KOOTENAI RIVER IN MONTANA",,,Basin Index (%),"","",56,,"","",43,, 
48.2000000,-114.5166667,20010210,"FLATHEAD RIVER BASIN",1165,"14A19S","Ashley Divide","4820",-999,-998,,-997,-999,-998,,-997,
48.1333333,-113.0166667,20010210,"FLATHEAD RIVER BASIN",307,"13A15S","Badger Pass","6900",11.8,20.3,58,,12.5,23.2,54,,
47.6833333,-114.0000000,20010210,"FLATHEAD RIVER BASIN",346,"13B25S","Bisson Creek","4920",6.7,6.8,99,,8.1,11.5,70,,
47.9833333,-114.3500000,20010210,"FLATHEAD RIVER BASIN",1144,"14B04S","Blacktail Mtn","5650",-999,-998,,-997,-999,-998,,-997,
48.4333333,-113.9333333,20010210,"FLATHEAD RIVER BASIN",469,"13A24S","Emery Creek","4350",6.2,10.4,60,,7.7,17.1,45,,
48.8000000,-113.8500000,20010210,"FLATHEAD RIVER BASIN",482,"13A19S","Flattop Mtn.","6300",16.1,29.7,54,,15.9,33.8,47,,
48.9166667,-114.7666667,20010210,"FLATHEAD RIVER BASIN",500,"14A11S","Grave Creek","4300",7.1,11.4,62,,9.1,22.8,40,,
48.3000000,-114.8333333,20010210,"FLATHEAD RIVER BASIN",510,"14A14S","Hand Creek","5035",5.5,7.8,71,,5.8,11.7,50,,
47.4333333,-113.7833333,20010210,"FLATHEAD RIVER BASIN",562,"13B22S","Kraft Creek","4750",8.8,-998,,-997,10.6,18.7,57,,
48.8000000,-113.6666667,20010210,"FLATHEAD RIVER BASIN",613,"13A27S","Many Glacier","4900",6.6,10.1,65,,8.3,22.3,37,,
47.6833333,-113.9666667,20010210,"FLATHEAD RIVER BASIN",646,"13B24S","Moss Peak","6780",16.5,23.6,70,,17.6,25.4,69,,
48.1500000,-113.9500000,20010210,"FLATHEAD RIVER BASIN",664,"13A25S","Noisy Basin","6040",14.5,26.8,54,,15.3,30.3,50,,
47.2666667,-113.7500000,20010210,"FLATHEAD RIVER BASIN",667,"13B07S","North Fork Jocko","6330",18.8,28.8,65,,20.5,35.5,58,,
48.3000000,-113.3333333,20010210,"FLATHEAD RIVER BASIN",693,"13A26S","Pike Creek","5930",9.0,-998,,-997,9.7,21.2,46,,
47.1833333,-114.3333333,20010210,"FLATHEAD RIVER BASIN",783,"14B05S","Sleeping Woman","6150",7.8,10.1,77,,10.4,14.7,71,,
48.9166667,-114.8666667,20010210,"FLATHEAD RIVER BASIN",787,"14A12S","Stahl Peak","6030",13.1,23.2,56,,11.2,26.6,42,,
47.0000000,-113.9333333,20010210,"FLATHEAD RIVER BASIN",901,"13C01S","Stuart Mountain","7400",16.1,21.9,74,,17.1,22.8,75,,
,,,,"FLATHEAD RIVER BASIN",,,Basin Index (%),"","",64,,"","",53,, 
46.1000000,-113.1333333,20010210,"UPPER CLARK FORK RIVER BASIN",313,"13C44S","Barker Lakes","8250",7.6,8.6,88,,7.8,10.5,74,,
45.8000000,-112.5166667,20010210,"UPPER CLARK FORK RIVER BASIN",315,"12D09S","Basin Creek","7180",5.2,4.8,108,,6.0,6.0,100,,
46.4166667,-113.4333333,20010210,"UPPER CLARK FORK RIVER BASIN",349,"13C13S","Black Pine","7210",5.6,6.7,84,,6.6,9.1,73,,
46.4666667,-113.4000000,20010210,"UPPER CLARK FORK RIVER BASIN",410,"13C33S","Combination","5600",2.8,3.4,82,,4.6,6.5,71,,
47.0500000,-112.6000000,20010210,"UPPER CLARK FORK RIVER BASIN",413,"12B16S","Copper Bottom","5200",5.2,-998,,-997,5.4,11.7,46,,
47.0833333,-112.7333333,20010210,"UPPER CLARK FORK RIVER BASIN",414,"12B14S","Copper Camp","6950",11.4,-998,,-997,13.2,23.0,57,,
46.8833333,-113.3166667,20010210,"UPPER CLARK FORK RIVER BASIN",604,"13C38S","Lubrecht Flume","4680",3.9,4.1,95,,6.2,7.4,84,,
46.8500000,-112.5000000,20010210,"UPPER CLARK FORK RIVER BASIN",903,"12C22S","Nevada Ridge","7020",7.7,9.4,82,,9.5,11.5,83,,
46.8666667,-113.2833333,20010210,"UPPER CLARK FORK RIVER BASIN",657,"13C31S","N Fk Elk Creek","6250",6.4,7.3,88,,8.7,9.6,91,,
47.2666667,-113.7500000,20010210,"UPPER CLARK FORK RIVER BASIN",667,"13B07S","North Fork Jocko","6330",18.8,28.8,65,,20.5,35.5,58,,
46.1333333,-113.3000000,20010210,"UPPER CLARK FORK RIVER BASIN",930,"13C36S","Peterson Meadows","7200",6.1,5.8,105,,7.1,7.5,95,,
46.3500000,-112.2666667,20010210,"UPPER CLARK FORK RIVER BASIN",722,"12C11S","Rocker Peak","8000",9.2,8.7,106,,7.6,9.1,84,,
46.2500000,-113.7666667,20010210,"UPPER CLARK FORK RIVER BASIN",760,"13C03S","Skalkaho Summit","7250",9.9,14.7,67,,10.9,15.8,69,,
47.0000000,-113.9333333,20010210,"UPPER CLARK FORK RIVER BASIN",901,"13C01S","Stuart Mountain","7400",16.1,21.9,74,,17.1,22.8,75,,
46.2666667,-113.1666667,20010210,"UPPER CLARK FORK RIVER BASIN",850,"13C43S","Warm Springs","7800",11.1,13.1,85,,12.6,15.2,83,,
,,,,"UPPER CLARK FORK RIVER BASIN",,,Basin Index (%),"","",80,,"","",71,, 
46.1833333,-113.8500000,20010210,"BITTERROOT",433,"13C39S","Daly Creek","5780",5.8,7.0,83,,8.3,9.7,86,,
46.6333333,-114.5833333,20010210,"BITTERROOT",588,"14C05S","Lolo Pass","5240",11.6,19.3,60,,13.6,24.5,56,,
45.6666667,-113.9500000,20010210,"BITTERROOT",638,"13D16S","Moose Creek","6200",7.2,11.9,61,,9.5,14.5,66,,
45.7333333,-114.4833333,20010210,"BITTERROOT",662,"14D02S","Nez Perce Camp","5650",7.0,9.2,76,,10.2,14.4,71,,
45.7000000,-113.9666667,20010210,"BITTERROOT",727,"13D22S","Saddle Mtn.","7940",10.8,16.6,65,,9.7,16.3,60,,
46.2500000,-113.7666667,20010210,"BITTERROOT",760,"13C03S","Skalkaho Summit","7250",9.9,14.7,67,,10.9,15.8,69,,
46.1500000,-114.4500000,20010210,"BITTERROOT",835,"14C13S","Twelvemile Creek","5600",8.7,11.9,73,,14.0,22.9,61,,
46.1500000,-114.5000000,20010210,"BITTERROOT",836,"14C12S","Twin Lakes","6400",17.1,26.0,66,,18.3,31.9,57,,
,,,,"BITTERROOT",,,Basin Index (%),"","",67,,"","",63,, 
46.9833333,-115.0333333,20010210,"LOWER CLARK FORK RIVER BASIN",530,"15C10S","Hoodoo Basin","6050",15.3,27.3,56,,18.0,33.4,54,,
47.5333333,-115.7833333,20010210,"LOWER CLARK FORK RIVER BASIN",535,"15B21S","Humboldt Gulch","4250",8.3,8.9,93,,13.9,26.6,52,,
46.6333333,-114.5833333,20010210,"LOWER CLARK FORK RIVER BASIN",588,"14C05S","Lolo Pass","5240",11.6,19.3,60,,13.6,24.5,56,,
