Lat,Long,YYYYMMDD,Basin_name,Station_id,Acton_id,Station_name,Elevation,Wteq_amt,Wteq_med,Wteq_amt_pct_med,Wteq_amt_pct_med_flag,Prec_wytd_amt,Prec_wytd_avg,Prec_wytd_pctavg,Prec_wytd_pct_avg_flag, 
48.5666667,-115.4500000,20100210,"KOOTENAI RIVER IN MONTANA",311,"15A08S","Banfield Mountain","5600",7.7,12.2,63,,13.1,17.8,74,,
48.3000000,-116.0666667,20100210,"KOOTENAI RIVER IN MONTANA",323,"16A08S","Bear Mountain","5400",28.1,38.6,73,,37.4,49.5,76,,
48.9833333,-115.8166667,20100210,"KOOTENAI RIVER IN MONTANA",918,"15A05S","Garver Creek","4250",6.2,6.9,90,,10.2,12.9,79,,
48.9166667,-114.7666667,20100210,"KOOTENAI RIVER IN MONTANA",500,"14A11S","Grave Creek","4300",9.3,11.4,82,,18.4,22.8,81,,
48.3000000,-114.8333333,20100210,"KOOTENAI RIVER IN MONTANA",510,"14A14S","Hand Creek","5035",6.1,7.8,78,,8.5,11.7,73,,
48.9666667,-115.9500000,20100210,"KOOTENAI RIVER IN MONTANA",516,"15A03S","Hawkins Lake","6450",14.1,16.8,84,,19.1,20.9,91,,
48.1333333,-115.6166667,20100210,"KOOTENAI RIVER IN MONTANA",932,"15A12S","Poorman Creek","5100",16.4,23.7,69,,30.0,39.8,75,,
48.9166667,-114.8666667,20100210,"KOOTENAI RIVER IN MONTANA",787,"14A12S","Stahl Peak","6030",21.8,23.2,94,,25.6,26.6,96,,
,,,,"KOOTENAI RIVER IN MONTANA",,,Basin Index (%),"","",78,,"","",80,, 
48.2000000,-114.5166667,20100210,"FLATHEAD RIVER BASIN",1165,"14A19S","Ashley Divide","4820",-999,-998,,-997,22.2,-998,,-997,
48.1333333,-113.0166667,20100210,"FLATHEAD RIVER BASIN",307,"13A15S","Badger Pass","6900",19.0,20.3,94,,19.9,23.2,86,,
47.6833333,-114.0000000,20100210,"FLATHEAD RIVER BASIN",346,"13B25S","Bisson Creek","4920",6.6,6.8,97,,12.5,11.5,109,,
47.9833333,-114.3500000,20100210,"FLATHEAD RIVER BASIN",1144,"14B04S","Blacktail Mtn","5650",-999,-998,,-997,-999,-998,,-997,
48.4333333,-113.9333333,20100210,"FLATHEAD RIVER BASIN",469,"13A24S","Emery Creek","4350",8.2,10.4,79,,14.6,17.1,85,,
48.8000000,-113.8500000,20100210,"FLATHEAD RIVER BASIN",482,"13A19S","Flattop Mtn.","6300",26.2,29.7,88,,31.5,33.8,93,,
48.9166667,-114.7666667,20100210,"FLATHEAD RIVER BASIN",500,"14A11S","Grave Creek","4300",9.3,11.4,82,,18.4,22.8,81,,
48.3000000,-114.8333333,20100210,"FLATHEAD RIVER BASIN",510,"14A14S","Hand Creek","5035",6.1,7.8,78,,8.5,11.7,73,,
